node_id,label,sens,logit,prob,pred,error,split
0,-1,0,1.1477463,0.75909907,1,1,unassigned
1,-1,1,0.3939456,0.59723216,1,1,unassigned
2,1,0,-1.0665306,0.25606343,0,1,unassigned
3,-1,0,4.4198155,0.9881067,1,1,unassigned
4,-1,1,4.4135528,0.98803294,1,1,unassigned
5,-1,1,0.44462892,0.60936147,1,1,unassigned
6,-1,1,2.8563309,0.94564503,1,1,unassigned
7,-1,0,-0.034698993,0.49132615,0,1,unassigned
8,-1,0,0.7341858,0.67572314,1,1,unassigned
9,-1,0,0.700927,0.66839325,1,1,unassigned
10,-1,0,-0.6563163,0.34156758,0,1,unassigned
11,-1,0,-1.0579699,0.25769758,0,1,unassigned
12,-1,1,-0.23935622,0.440445,0,1,unassigned
13,-1,1,1.7755086,0.8551414,1,1,unassigned
14,-1,1,2.141209,0.8948444,1,1,unassigned
15,-1,0,1.5028436,0.81799823,1,1,unassigned
16,-1,0,-0.26526016,0.4340711,0,1,unassigned
17,-1,0,3.4578683,0.9694649,1,1,unassigned
18,0,1,-0.3429767,0.4150866,0,0,unassigned
19,-1,0,7.392713,0.99938464,1,1,unassigned
20,-1,0,2.4161668,0.91805184,1,1,unassigned
21,-1,0,2.3452294,0.9125543,1,1,unassigned
22,-1,0,-0.9423233,0.28043127,0,1,unassigned
23,-1,0,0.6863829,0.6651618,1,1,unassigned
24,-1,0,0.11452234,0.5285993,1,1,unassigned
25,-1,0,6.223994,0.9980227,1,1,unassigned
26,-1,0,0.6662841,0.6606706,1,1,unassigned
27,1,0,2.6372502,0.9332208,1,0,val
28,-1,0,-0.4825122,0.3816591,0,1,unassigned
29,-1,0,5.468762,0.99580127,1,1,unassigned
30,-1,0,-0.35386908,0.4124445,0,1,unassigned
31,-1,0,0.64064825,0.65489995,1,1,unassigned
32,-1,0,-0.83804905,0.30194584,0,1,unassigned
33,-1,0,1.072561,0.7450837,1,1,unassigned
34,-1,0,-0.32822728,0.41867203,0,1,unassigned
35,0,0,-0.8536233,0.29867336,0,0,unassigned
36,-1,0,5.8631654,0.99716586,1,1,unassigned
37,-1,0,-0.1954903,0.45128247,0,1,unassigned
38,-1,1,12.840318,0.9999974,1,1,unassigned
39,-1,0,0.29834095,0.5740369,1,1,unassigned
40,-1,0,-0.8017218,0.30965734,0,1,unassigned
41,-1,0,4.845239,0.9921956,1,1,unassigned
42,-1,0,1.0474386,0.7402828,1,1,unassigned
43,-1,1,-1.1485779,0.24074894,0,1,unassigned
44,-1,1,2.8839371,0.9470467,1,1,unassigned
45,-1,1,0.63627696,0.65391135,1,1,unassigned
46,-1,0,2.2764862,0.90691084,1,1,unassigned
47,-1,0,3.9761817,0.98158824,1,1,unassigned
48,-1,1,3.186814,0.960335,1,1,unassigned
49,-1,1,2.022442,0.88313335,1,1,unassigned
50,-1,0,-0.08732206,0.47818336,0,1,unassigned
51,-1,0,-0.4088717,0.3991827,0,1,unassigned
52,-1,0,2.0508626,0.8860347,1,1,unassigned
53,0,0,0.4727905,0.61604404,1,1,val
54,-1,0,0.06812334,0.5170243,1,1,unassigned
55,-1,1,2.698156,0.9369178,1,1,unassigned
56,-1,0,-0.82121813,0.30550516,0,1,unassigned
57,-1,1,1.309752,0.78747165,1,1,unassigned
58,-1,0,-0.60497254,0.35320687,0,1,unassigned
59,-1,1,2.0096335,0.8818049,1,1,unassigned
60,0,0,-0.11076385,0.47233734,0,0,unassigned
61,-1,0,3.0051768,0.9528074,1,1,unassigned
62,0,0,-0.8778025,0.29363334,0,0,test
63,-1,0,2.7786229,0.94150966,1,1,unassigned
64,-1,1,1.9837375,0.87907904,1,1,unassigned
65,-1,0,3.7226908,0.9764015,1,1,unassigned
66,-1,0,0.76742613,0.68296385,1,1,unassigned
67,-1,0,-0.9126378,0.28646037,0,1,unassigned
68,-1,0,2.81954,0.9437226,1,1,unassigned
69,-1,0,1.8889406,0.86863464,1,1,unassigned
70,-1,0,0.4355215,0.6071914,1,1,unassigned
71,1,0,3.903413,0.9802259,1,0,test
72,-1,0,0.38582417,0.5952771,1,1,unassigned
73,-1,0,2.2815216,0.90733504,1,1,unassigned
74,-1,0,0.57871604,0.6407719,1,1,unassigned
75,-1,0,1.6739963,0.8421079,1,1,unassigned
76,-1,0,-0.4392057,0.39193025,0,1,unassigned
77,-1,0,2.8986955,0.94778186,1,1,unassigned
78,-1,0,1.7664177,0.85401165,1,1,unassigned
79,-1,0,0.781821,0.68607247,1,1,unassigned
80,-1,0,-1.0588168,0.25753564,0,1,unassigned
81,-1,1,5.4095545,0.9955462,1,1,unassigned
82,-1,1,2.0582845,0.88678205,1,1,unassigned
83,-1,1,1.1674232,0.7626789,1,1,unassigned
84,1,1,2.6407235,0.93343693,1,0,test
85,-1,1,7.464659,0.9994273,1,1,unassigned
86,-1,0,1.6918657,0.84446937,1,1,unassigned
87,-1,1,0.462679,0.61364955,1,1,unassigned
88,0,1,-0.57141113,0.3609113,0,0,val
89,-1,1,0.16238078,0.54050624,1,1,unassigned
90,-1,0,7.73123,0.99956125,1,1,unassigned
91,-1,0,-0.68774354,0.3345352,0,1,unassigned
92,-1,0,-0.7290982,0.32539266,0,1,unassigned
93,-1,0,-0.5109769,0.37496457,0,1,unassigned
94,-1,1,-0.86618435,0.29604888,0,1,unassigned
95,1,0,-0.5935824,0.35581332,0,1,unassigned
96,0,0,-0.490143,0.37985986,0,0,test
97,-1,1,1.4627056,0.81194615,1,1,unassigned
98,-1,0,-0.8663453,0.29601532,0,1,unassigned
99,-1,1,0.6670613,0.6608448,1,1,unassigned
100,-1,0,3.8701065,0.97957,1,1,unassigned
101,-1,0,0.84389186,0.69928426,1,1,unassigned
